time_s,current_A,voltage_V,temp_C,cycle
0.0,1.5845262851900177,3.682635252411217,24.98709384455477,0
1.0,1.4767031314729584,3.7118317250153927,25.057783820263076,0
2.0,1.5016410081839293,3.7046305099278394,24.979139843647417,0
3.0,1.5203758141498254,3.678714974486135,24.99827565865774,0
4.0,1.460553848568713,3.703659706937193,24.919746484396637,0
5.0,1.5001032786452975,3.7115554315409915,24.997560210669103,0
6.0,1.4999554807071034,3.692219518336124,25.078184174687507,0
7.0,1.4122637846827288,3.6615025401625134,25.064533562085877,0
8.0,1.5508829002831748,3.6703652890978167,24.94508575873011,0
9.0,1.5300249257959775,3.6898937735726873,25.062738228619782,0
10.0,1.468728551301662,3.6938176811978165,25.032287959635617,0
11.0,1.491422586940214,3.639060456251241,25.098890140320073,0
12.0,1.5252649687098376,3.7066740985296334,25.023628210783546,0
13.0,1.4869321792404175,3.6996526710916733,25.0284464420741,0
14.0,1.4878625460663726,3.7228364189883605,24.973009024124035,0
15.0,1.4273379293754604,3.6806854162381497,25.0186164619222,0
16.0,1.5277290155945944,3.686317777225733,25.0104725206204,0
17.0,1.5061940452643519,3.698993872018562,25.093501339658427,0
18.0,1.513722996187998,3.664578582385399,24.977573652337963,0
19.0,1.423673773406508,3.686691450398286,25.05596309432359,0
20.0,1.5825349845593237,3.6608895499309,24.97569174179146,0
21.0,1.507716776772818,3.674905961776262,25.036614083370328,0
22.0,1.4806430028356805,3.6918534902840894,24.958042628603405,0
23.0,1.6014536110380555,3.697031934541622,24.94985976608639,0
24.0,1.4977306985069676,3.66780808349593,24.965775141290404,0
25.0,1.4274660650426712,3.693534030308634,24.951380832643082,0
26.0,1.4797386072286156,3.688653045456922,25.10486691221144,0
27.0,1.385584244901414,3.694599548956928,25.049496528232527,0
28.0,1.5524698274671627,3.6796163668697375,25.007517442565014,0
29.0,1.479176284073999,3.6822163305166744,25.06357386922611,0
30.0,1.4628723237397716,3.6965449354029354,24.9237740328784,0
31.0,1.5536235065787747,3.6708167878286875,25.07298065305239,0
32.0,1.417446220529708,3.6911416582446197,24.89394166726673,0
33.0,1.5267714678163045,3.6747281203107067,24.9655011809784,0
34.0,1.3967792598439412,3.7162691110060733,24.992559599398085,0
35.0,1.4668920330166595,3.6710681717032836,24.96014589853266,0
36.0,1.4397890077200133,3.6971796868081817,24.960595267720535,0
37.0,1.5730987813606763,3.654182576609512,24.990107369341068,0
38.0,1.5883080438964667,3.690253225498974,25.00435582715227,0
39.0,1.4835293124043467,3.693449897328355,25.03010853997867,0
40.0,1.5420366621071768,3.6878672847635996,24.987846652038947,0
41.0,1.4910006799373825,3.678370346468399,25.055503101585483,0
42.0,1.528403094366399,3.6699734605409127,25.00623104811048,0
43.0,1.4623581401789267,3.686841706073801,24.992892059487374,0
44.0,1.4145830398416472,3.677829253759606,25.049543564527493,0
45.0,1.409845067076013,3.681421399172045,25.055001256685305,0
46.0,1.5191560925878755,3.6773494783143907,25.053521739264692,0
47.0,1.612379752640385,3.6713834841586257,24.93075318889841,0
48.0,1.5134705815253944,3.709634215626272,24.980868827886553,0
49.0,1.4737697690299574,3.7154307905880537,24.93658591519718,0
50.0,1.595600943116597,3.7180083988170383,25.01739535243271,0
51.0,1.5118650923318597,3.6973992921886856,25.114634297011364,0
52.0,1.5050716992605808,3.695533199776223,24.960179320886617,0
53.0,1.512628886777766,3.6874289542949037,24.957730270090945,0
54.0,1.4933811401216577,3.6910403084141894,25.050201894608396,0
55.0,1.484526182970556,3.689913590193758,25.02027386390968,0
56.0,1.4282518266982223,3.665928801495193,24.954105109674035,0
57.0,1.525081206159052,3.666805251660051,25.05758665573203,0
58.0,1.4952612274780053,3.695821919909984,25.02087949715285,0
59.0,1.5596542961172006,3.6710600613635354,25.06184642068359,0
60.0,1.4815590765776077,3.718405682238781,25.131745237188003,0
61.0,1.4046815060734765,3.676252908337186,25.08371234420942,0
62.0,1.4950194684052567,3.7039892577245292,25.026039897661942,0
63.0,1.5849768648373341,3.698912575196319,25.002840149600452,0
64.0,1.4808288438534243,3.6834822073453166,24.99563624794907,0
65.0,1.4555071569489626,3.6906932623398667,24.981056215333272,0
66.0,1.440320403887091,3.686783109797133,24.989801279444766,0
67.0,1.4474991594462314,3.700137046894346,25.103119552901745,0
68.0,1.4849903131599917,3.699456738478216,25.034687633185285,0
69.0,1.4410008953270896,3.713845288523222,25.03217069707065,0
70.0,1.5748819557798792,3.6957236346555833,24.95584536410484,0
71.0,1.485868238196231,3.700536955021458,25.000061562301635,0
72.0,1.5054324185747365,3.6755827381073516,25.025581202916122,0
73.0,1.5719119760366878,3.7196692962030475,24.959405604237286,0
74.0,1.5751659260208455,3.690773038065214,25.03803436752659,0
75.0,1.489363351649122,3.692105391817399,25.15691720246019,0
76.0,1.516598710774425,3.6771123623531925,25.004982324224013,0
77.0,1.536751329218868,3.669227688653017,25.039001485822826,0
78.0,1.490357226982511,3.6411173880381984,25.04437970617379,0
79.0,1.4110993573520745,3.734733653196571,24.95587002128336,0
80.0,1.5327352851851554,3.719299189987627,25.09048432069847,0
81.0,1.5447176152410267,3.676986694553188,24.979831445856185,0
82.0,1.5207751307149004,3.685709200582996,24.92094289910452,0
83.0,1.4538227671643391,3.655557682093187,24.96314317450813,0
84.0,1.4901986343846017,3.7042719465681273,25.061563273403014,0
85.0,1.4704615090568431,3.69617400460293,25.01488540509535,0
86.0,1.4850144381336086,3.703706766072869,25.024260273478742,0
87.0,1.5648442596363337,3.682256873855365,25.013068442378813,0
88.0,1.5764789816696578,3.7077015427823286,24.984417797490455,0
89.0,1.533470909670483,3.691550393316191,25.08964166828436,0
90.0,1.5274372559889164,3.664569576081624,24.98788354512245,0
91.0,1.5338314494777943,3.717576187381655,25.02737036559185,0
92.0,1.4993878906696778,3.679256945499229,25.004495833714532,0
93.0,1.4962168269256466,3.7036073764635877,25.023762029907946,0
94.0,1.4663177406311962,3.702569766743572,25.037982153082055,0
95.0,1.4972066274974962,3.7088480413493725,25.04234692613798,0
96.0,1.612997349331313,3.7152308204375086,24.998125078539562,0
97.0,1.5434519664626913,3.692497588212688,24.98321222359864,0
98.0,1.4828941488286569,3.6541723312345527,25.04943708858316,0
99.0,1.4764036673933238,3.697093086692719,24.95484017501471,0
100.0,1.4567755004207128,3.738945936230262,25.05153130320478,0
101.0,1.5187185174868787,3.6851034176003625,25.06155338789922,0
102.0,1.519577284675129,3.70643365453466,25.004641301252793,0
103.0,1.427843917149953,3.6868669603131776,25.009525940595815,0
104.0,1.524316759862085,3.684721727313261,25.062149402929883,0
105.0,1.471526386474075,3.690467231263059,25.04641623448871,0
106.0,1.5713360578324418,3.724412234234827,25.12716268098867,0
107.0,1.5078421991852091,3.708553634936517,25.051485622255043,0
108.0,1.5858865024830118,3.6975318062853857,25.005480771156567,0
